benchmark_id,benchmark_name,provider,provider_first_date,provider_first_model,raw_mention,adoption_order,lag_days_since_benchmark_first,is_first_provider,first_providers,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain
benchmark_multi_if,Multi-IF,OpenAI,2025-04-14,GPT-4.1,Multi-IF,1,0,True,OpenAI,Meta,none,Constraint Satisfaction,General/Commonsense
benchmark_multichallenge,MultiChallenge,OpenAI,2025-04-14,GPT-4.1,MultiChallenge,1,0,True,OpenAI,Others(Scale AI),none,Constraint Satisfaction,General/Commonsense
benchmark_needle_in_a_haystack,Needle In A Haystack,OpenAI,2025-04-14,GPT-4.1,Needle In A Haystack,3,424,False,Google,"Academia, Others(Microsoft)",none,Generative Reasoning,General/Commonsense
benchmark_swe_lancer,SWE-Lancer,OpenAI,2025-04-14,GPT-4.1,SWE-Lancer,1,0,True,OpenAI,OpenAI,OpenAI,Agentic,Coding/Engineering
benchmark_tau_bench,Tau-bench,OpenAI,2025-04-14,GPT-4.1,Tau-bench,2,173,False,Anthropic,Academia,none,Agentic,General/Commonsense
benchmark_video_mme,Video-MME,OpenAI,2025-04-14,GPT-4.1,Video-MME,1,0,True,OpenAI,Academia,none,Multimodal Perception,General/Commonsense
benchmark_browsecomp,BrowseComp,OpenAI,2025-04-16,o3,BrowseComp,1,0,True,OpenAI,OpenAI,OpenAI,Agentic,General/Commonsense
benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),OpenAI,2025-04-16,o3,HLE (Humanity's Last Exam),2,22,False,Google,"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_terminal_bench,Terminal-bench,Anthropic,2025-05-23,Claude 4,Terminal-bench,1,0,True,Anthropic,Academia,Anthropic,Agentic,Coding/Engineering
benchmark_erqa,ERQA,OpenAI,2025-08-07,GPT-5,ERQA,1,0,True,OpenAI,Google,Google; DeepMind,Knowledge Retrieval,General/Commonsense
benchmark_hmmt,HMMT,OpenAI,2025-08-07,GPT-5,HMMT,1,0,True,OpenAI,Academia,none,Generative Reasoning,STEM/Math
benchmark_healthbench,Healthbench,OpenAI,2025-08-07,GPT-5,Healthbench,1,0,True,OpenAI,OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_tau_2_bench,TAU-2 bench,OpenAI,2025-08-07,GPT-5,TAU-2 bench,1,0,True,OpenAI,Academia,none,Agentic,General/Commonsense
benchmark_video_mmmu,Video-MMMU,OpenAI,2025-08-07,GPT-5,Video-MMMU,1,0,True,OpenAI,Academia,none,Multimodal Perception,General/Commonsense
benchmark_finance_agent,Finance Agent,Anthropic,2025-09-30,Claude 4.5 (Sonnet),Finance Agent,1,0,True,Anthropic,"Academia, Others(vals.ai)",none,Agentic,Specialized (Law/Bio/Finance)
benchmark_tau_2_bench,TAU-2 bench,Anthropic,2025-09-30,Claude 4.5 (Sonnet),TAU-2 bench,2,54,False,OpenAI,Academia,none,Agentic,General/Commonsense
benchmark_arc_agi,ARC-AGI,Google,2025-11-18,Gemini 3.0,ARC-AGI,2,624,False,Anthropic,Academia,none,Generative Reasoning,STEM/Math
benchmark_charxiv,CharXiv,Google,2025-11-18,Gemini 3.0,CharXiv,2,218,False,OpenAI,Academia,none,Multimodal Perception,STEM/Math
benchmark_facts_benchmark_suite,FACTS Benchmark suite,Google,2025-11-18,Gemini 3.0,FACTS Benchmark suite,1,0,True,Google,Google,Google; DeepMind,Knowledge Retrieval,General/Commonsense
benchmark_global_piqa,Global PIQA,Google,2025-11-18,Gemini 3.0,Global PIQA,1,0,True,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_lmarena,LMArena,Google,2025-11-18,Gemini 3.0,LMArena,1,0,True,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_mmmlu,MMMLU,Google,2025-11-18,Gemini 3.0,MMMLU,3,266,False,Anthropic,OpenAI,OpenAI,Generative Reasoning,General/Commonsense
benchmark_matharena_apex,MathArena Apex,Google,2025-11-18,Gemini 3.0,MathArena Apex,1,0,True,Google,Academia,none,Generative Reasoning,STEM/Math
benchmark_omnidocbench_1_5,OmniDocBench 1.5,Google,2025-11-18,Gemini 3.0,OmniDocBench 1.5,1,0,True,Google,"Academia, Others(Abaka AI)",none,Multimodal Perception,General/Commonsense
benchmark_screenspot_pro,ScreenSpot-Pro,Google,2025-11-18,Gemini 3.0,ScreenSpot-Pro,1,0,True,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_tau_2_bench,TAU-2 bench,Google,2025-11-18,Gemini 3.0,TAU-2 bench,3,103,False,OpenAI,Academia,none,Agentic,General/Commonsense
benchmark_terminal_bench_2_0,Terminal-Bench 2.0,Google,2025-11-18,Gemini 3.0,Terminal-Bench 2.0,1,0,True,Google,Academia,Anthropic,Agentic,Coding/Engineering
benchmark_vending_bench_2,Vending-Bench 2,Google,2025-11-18,Gemini 3.0,Vending-Bench 2,1,0,True,Google,Others(Andon Labs),none,Agentic,General/Commonsense
benchmark_video_mmmu,Video-MMMU,Google,2025-11-18,Gemini 3.0,Video-MMMU,2,103,False,OpenAI,Academia,none,Multimodal Perception,General/Commonsense
benchmark_arc_agi_2,ARC-AGI-2,Anthropic,2025-11-24,Claude 4.5 (Opus),ARC-AGI-2,1,0,True,Anthropic,Academia,none,Generative Reasoning,General/Commonsense
benchmark_aider_polyglot,Aider Polyglot,Anthropic,2025-11-24,Claude 4.5 (Opus),Aider Polyglot,3,244,False,Google,Others(Aider),none,Generative Reasoning,Coding/Engineering
benchmark_browsecomp_plus,BrowseComp-Plus,Anthropic,2025-11-24,Claude 4.5 (Opus),BrowseComp-Plus,1,0,True,Anthropic,Academia,none,Agentic,General/Commonsense
benchmark_swe_bench_multilingual,SWE-bench Multilingual,Anthropic,2025-11-24,Claude 4.5 (Opus),SWE-bench Multilingual,1,0,True,Anthropic,Academia,none,Agentic,Coding/Engineering
benchmark_scale_mcp_atlas,Scale MCP-Atlas,Anthropic,2025-11-24,Claude 4.5 (Opus),Scale MCP-Atlas,1,0,True,Anthropic,Others(Scale AI),none,Agentic,General/Commonsense
benchmark_terminal_bench_2_0,Terminal-Bench 2.0,Anthropic,2025-11-24,Claude 4.5 (Opus),Terminal-Bench 2.0,2,6,False,Google,Academia,Anthropic,Agentic,Coding/Engineering
benchmark_vending_bench,Vending-Bench,Anthropic,2025-11-24,Claude 4.5 (Opus),Vending-Bench,1,0,True,Anthropic,Others(Andon Labs),none,Agentic,General/Commonsense
benchmark_arc_agi,ARC-AGI,OpenAI,2025-12-11,GPT-5.2,ARC-AGI,3,647,False,Anthropic,Academia,none,Generative Reasoning,STEM/Math
benchmark_browsecomp_long_context,BrowseComp Long Context,OpenAI,2025-12-11,GPT-5.2,BrowseComp Long Context,1,0,True,OpenAI,OpenAI,OpenAI,Knowledge Retrieval,General/Commonsense
benchmark_gdpval,GDPval,OpenAI,2025-12-11,GPT-5.2,GDPval,1,0,True,OpenAI,OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_mrcr_v2,MRCR v2,OpenAI,2025-12-11,GPT-5.2,MRCR v2,1,0,True,OpenAI,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense
benchmark_swe_bench_pro,SWE-bench Pro,OpenAI,2025-12-11,GPT-5.2,SWE-bench Pro,1,0,True,OpenAI,Others(Scale AI),none,Agentic,Coding/Engineering
benchmark_scale_mcp_atlas,Scale MCP-Atlas,OpenAI,2025-12-11,GPT-5.2,Scale MCP-Atlas,2,17,False,Anthropic,Others(Scale AI),none,Agentic,General/Commonsense
benchmark_screenspot_pro,ScreenSpot-Pro,OpenAI,2025-12-11,GPT-5.2,ScreenSpot-Pro,2,23,False,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_toolathlon,Toolathlon,OpenAI,2025-12-11,GPT-5.2,Toolathlon,1,0,True,OpenAI,"Academia, Others(All Hands AI)",none,Agentic,General/Commonsense
benchmark_biglaw_bench,BigLaw Bench,Anthropic,2026-02-05,Claude 4.6 (Opus),BigLaw Bench,1,0,True,Anthropic,Others(Harvey),none,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_biopipelinebench,BioPipelineBench,Anthropic,2026-02-05,Claude 4.6 (Opus),BioPipelineBench,1,0,True,Anthropic,Anthropic,Anthropic,Agentic,Specialized (Law/Bio/Finance)
benchmark_browsecomp,BrowseComp,Anthropic,2026-02-05,Claude 4.6 (Opus),BrowseComp,2,295,False,OpenAI,OpenAI,OpenAI,Agentic,General/Commonsense
benchmark_cybergym,CyberGym,Anthropic,2026-02-05,Claude 4.6 (Opus),CyberGym,1,0,True,Anthropic,Academia,none,Agentic,Coding/Engineering
benchmark_gdpval_aa,GDPval-AA,Anthropic,2026-02-05,Claude 4.6 (Opus),GDPval-AA,1,0,True,Anthropic,Others(Artificial Analysis),none,Agentic,Specialized (Law/Bio/Finance)
benchmark_graphwalks,GraphWalks,Anthropic,2026-02-05,Claude 4.6 (Opus),Graphwalks,2,297,False,OpenAI,OpenAI,OpenAI,Generative Reasoning,STEM/Math
benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),Anthropic,2026-02-05,Claude 4.6 (Opus),Humanity's Last Exam,3,317,False,Google,"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_mrcr_v2,MRCR v2,Anthropic,2026-02-05,Claude 4.6 (Opus),MRCR v2,2,56,False,OpenAI,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense
benchmark_osworld_verified,OSWorld-Verified,OpenAI,2026-02-05,GPT-5.3-Codex,OSWorld-Verified,1,0,True,OpenAI,Academia,none,Agentic,General/Commonsense
benchmark_openrca,OpenRCA,Anthropic,2026-02-05,Claude 4.6 (Opus),OpenRCA,1,0,True,Anthropic,"Academia, Others(Microsoft)",Microsoft,Generative Reasoning,Coding/Engineering
benchmark_swe_lancer_ic_diamond,SWE-Lancer IC Diamond,OpenAI,2026-02-05,GPT-5.3-Codex,SWE-lancer IC Diamond,1,0,True,OpenAI,OpenAI,OpenAI,Agentic,Coding/Engineering
benchmark_terminal_bench_2_0,Terminal-Bench 2.0,OpenAI,2026-02-05,GPT-5.3-Codex,Terminal-Bench 2.0,3,79,False,Google,Academia,Anthropic,Agentic,Coding/Engineering
benchmark_vending_bench_2,Vending-Bench 2,Anthropic,2026-02-05,Claude 4.6 (Opus),Vending-Bench 2,2,79,False,Google,Others(Andon Labs),none,Agentic,General/Commonsense
benchmark_apex_agents,APEX-Agents,Google,2026-02-19,Gemini 3.1 Pro,APEX-Agents,1,0,True,Google,Others(Mercor),none,Agentic,Specialized (Law/Bio/Finance)
benchmark_arc_agi_2,ARC-AGI-2,Google,2026-02-19,Gemini 3.1 Pro,ARC-AGI-2,2,87,False,Anthropic,Academia,none,Generative Reasoning,General/Commonsense
benchmark_browsecomp,BrowseComp,Google,2026-02-19,Gemini 3.1 Pro,BrowseComp,3,309,False,OpenAI,OpenAI,OpenAI,Agentic,General/Commonsense
benchmark_gdpval_aa,GDPval-AA,Google,2026-02-19,Gemini 3.1 Pro,GDPval-AA,2,14,False,Anthropic,Others(Artificial Analysis),none,Agentic,Specialized (Law/Bio/Finance)
benchmark_gpqa_diamond,GPQA Diamond,Google,2026-02-19,Gemini 3.1 Pro,GPQA Diamond,2,484,False,Anthropic,"Anthropic, Academia, Others(Cohere)",none,Generative Reasoning,STEM/Math
benchmark_livecodebench_pro,LiveCodeBench Pro,Google,2026-02-19,Gemini 3.1 Pro,LiveCodeBench Pro,1,0,True,Google,Academia,none,Generative Reasoning,Coding/Engineering
benchmark_mrcr_v2,MRCR v2,Google,2026-02-19,Gemini 3.1 Pro,MRCR v2,3,70,False,OpenAI,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense
