release_sequence,release_key,provider,model,release_date,mention_position,raw_mention,benchmark_id,benchmark_name,match_source,match_type,source_author,frontier_lab_author_affiliations,source_author_group,self_affiliated_source,legacy_task_mode,legacy_task_domain,headline_task_mode,facet_domain,construct_claim,benchmark_lifecycle_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,6,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,domain_expertise; mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,7,HumanEval,benchmark_humaneval,HumanEval,canonical,exact,OpenAI,OpenAI,Other frontier lab-affiliated,False,Generative Reasoning,Coding/Engineering,Generative Reasoning,Coding/Engineering,coding,construct_validity_risk; contamination_risk; provider_created_benchmark; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,8,Natural2Code,benchmark_natural2code,Natural2Code,canonical,exact,Google,Google; DeepMind,Self-affiliated frontier lab,True,Generative Reasoning,Coding/Engineering,Constraint Satisfaction,Coding/Engineering,coding; instruction_following; reasoning,construct_validity_risk; contamination_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,9,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Bio/Medicine; Other Specialized; STEM/Math; Visual/Document,domain_expertise; mathematical_reasoning; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; version_instability
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,10,VQAv2,benchmark_vqav2,VQAv2,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,General/Commonsense; Visual/Document,factual_knowledge; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,11,TextVQA,benchmark_textvqa,TextVQA,canonical,exact,Meta,none,Independent/industry,False,Multimodal Perception,General/Commonsense,Multimodal Perception,General/Commonsense; Visual/Document,document_understanding; multimodal_understanding; reasoning,contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,12,DocVQA,benchmark_docvqa,DocVQA,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Visual/Document,document_understanding; multimodal_understanding,construct_validity_risk; contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,13,Infographic VQA,benchmark_infographic_vqa,Infographic VQA,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,General/Commonsense; Visual/Document,document_understanding; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,14,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Other frontier lab-affiliated,False,Multimodal Perception,STEM/Math,Multimodal Perception,STEM/Math; Visual/Document,mathematical_reasoning; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,15,VATEX,benchmark_vatex,VATEX,canonical,exact,"Academia, Others(ByteDance)",none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,General/Commonsense; Multilingual; Visual/Document,multimodal_understanding,construct_validity_risk; contamination_risk; distribution_shift_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,16,MCQA,benchmark_mcqa,MCQA,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,General/Commonsense,factual_knowledge; reasoning,construct_validity_risk; unclear_metric
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,17,CoVoST 2,benchmark_covost_2,CoVoST 2,canonical,exact,Meta,none,Independent/industry,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Multilingual,multimodal_understanding,construct_validity_risk; distribution_shift_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,18,FLEURS,benchmark_fleurs,FLEURS,canonical,exact,"Meta, Google",Google,Self-affiliated frontier lab,True,Multimodal Perception,General/Commonsense,Multimodal Perception,General/Commonsense; Multilingual,multimodal_understanding,construct_validity_risk; contamination_risk
7,Google::Gemini 1.5::2024-02-15,Google,Gemini 1.5,2024-02-15,1,Needle In A Haystack,benchmark_needle_in_a_haystack,Needle In A Haystack,canonical,exact,"Academia, Others(Microsoft)",none,Academia,False,Generative Reasoning,General/Commonsense,Knowledge Retrieval,General/Commonsense,document_understanding; long_context_retrieval,construct_validity_risk; contamination_risk; saturation_risk; unclear_metric
7,Google::Gemini 1.5::2024-02-15,Google,Gemini 1.5,2024-02-15,2,MTOB benchmark,benchmark_mtob_benchmark,MTOB benchmark,canonical,exact,"Academia, Google",none,Self-affiliated frontier lab,True,Generative Reasoning,STEM/Math,Multimodal Perception,General/Commonsense; Visual/Document,instruction_following; multimodal_understanding,construct_validity_risk; contamination_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,1,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,Bio/Medicine; Coding/Engineering; Finance; General/Commonsense; Law; Other Specialized; STEM/Math,domain_expertise; factual_knowledge; mathematical_reasoning; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,2,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Self-affiliated frontier lab,True,Generative Reasoning,STEM/Math,Generative Reasoning,Bio/Medicine; STEM/Math,domain_expertise; factual_knowledge; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,3,GSM8K,benchmark_gsm8k,GSM8K,canonical,exact,OpenAI,OpenAI,Other frontier lab-affiliated,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,mathematical_reasoning; reasoning,contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,4,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,domain_expertise; mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,5,MGSM,benchmark_mgsm,MGSM,canonical,exact,"Google, Academia",Google,Other frontier lab-affiliated,False,Generative Reasoning,STEM/Math,Generative Reasoning,Multilingual; STEM/Math,mathematical_reasoning; reasoning,contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,6,HumanEval,benchmark_humaneval,HumanEval,canonical,exact,OpenAI,OpenAI,Other frontier lab-affiliated,False,Generative Reasoning,Coding/Engineering,Generative Reasoning,Coding/Engineering,coding,construct_validity_risk; contamination_risk; provider_created_benchmark; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,7,DROP,benchmark_drop,DROP,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Multimodal Perception,General/Commonsense; STEM/Math,document_understanding; mathematical_reasoning; reasoning,contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,8,Big-Bench Hard,benchmark_big_bench_hard,Big-Bench Hard,canonical,exact,Google,Google,Other frontier lab-affiliated,False,Generative Reasoning,General/Commonsense,Generative Reasoning,General/Commonsense; STEM/Math,mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,9,ARC-AGI,benchmark_arc_agi,ARC-AGI,canonical,exact,Academia,none,Academia,False,Generative Reasoning,STEM/Math,Multimodal Perception,General/Commonsense; STEM/Math; Visual/Document,multimodal_understanding; reasoning,construct_validity_risk; contamination_risk; distribution_shift_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,10,HellaSwag,benchmark_hellaswag,HellaSwag,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,General/Commonsense,reasoning,construct_validity_risk; contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,11,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Bio/Medicine; Other Specialized; STEM/Math; Visual/Document,domain_expertise; mathematical_reasoning; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; version_instability
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,12,AI2D,benchmark_ai2d,AI2D,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,STEM/Math; Visual/Document,document_understanding; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,13,Needle In A Haystack,benchmark_needle_in_a_haystack,Needle In A Haystack,canonical,exact,"Academia, Others(Microsoft)",none,Academia,False,Generative Reasoning,General/Commonsense,Knowledge Retrieval,General/Commonsense,document_understanding; long_context_retrieval,construct_validity_risk; contamination_risk; saturation_risk; unclear_metric
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,14,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Other frontier lab-affiliated,False,Multimodal Perception,STEM/Math,Multimodal Perception,STEM/Math; Visual/Document,mathematical_reasoning; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,15,DocVQA,benchmark_docvqa,DocVQA,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Visual/Document,document_understanding; multimodal_understanding,construct_validity_risk; contamination_risk; saturation_risk
8,Anthropic::Claude 3::2024-03-04,Anthropic,Claude 3,2024-03-04,16,ChartQA,benchmark_chartqa,ChartQA,canonical,exact,Academia,none,Academia,False,Multimodal Perception,STEM/Math,Multimodal Perception,STEM/Math; Visual/Document,document_understanding; mathematical_reasoning; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,1,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,Bio/Medicine; Coding/Engineering; Finance; General/Commonsense; Law; Other Specialized; STEM/Math,domain_expertise; factual_knowledge; mathematical_reasoning; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,2,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,Bio/Medicine; STEM/Math,domain_expertise; factual_knowledge; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,3,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,domain_expertise; mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; saturation_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,4,HumanEval,benchmark_humaneval,HumanEval,canonical,exact,OpenAI,OpenAI,Self-affiliated frontier lab,True,Generative Reasoning,Coding/Engineering,Generative Reasoning,Coding/Engineering,coding,construct_validity_risk; contamination_risk; provider_created_benchmark; saturation_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,5,MGSM,benchmark_mgsm,MGSM,canonical,exact,"Google, Academia",Google,Other frontier lab-affiliated,False,Generative Reasoning,STEM/Math,Generative Reasoning,Multilingual; STEM/Math,mathematical_reasoning; reasoning,contamination_risk; saturation_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,6,DROP,benchmark_drop,DROP,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Multimodal Perception,General/Commonsense; STEM/Math,document_understanding; mathematical_reasoning; reasoning,contamination_risk; saturation_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,7,M3Exam,benchmark_m3exam,M3Exam,canonical,exact,"Academia, Others(Alibaba etc)",none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,General/Commonsense; Multilingual; STEM/Math; Visual/Document,factual_knowledge; mathematical_reasoning; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,8,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Bio/Medicine; Other Specialized; STEM/Math; Visual/Document,domain_expertise; mathematical_reasoning; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; version_instability
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,9,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Other frontier lab-affiliated,False,Multimodal Perception,STEM/Math,Multimodal Perception,STEM/Math; Visual/Document,mathematical_reasoning; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,10,AI2D,benchmark_ai2d,AI2D,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,STEM/Math; Visual/Document,document_understanding; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,11,ChartQA,benchmark_chartqa,ChartQA,canonical,exact,Academia,none,Academia,False,Multimodal Perception,STEM/Math,Multimodal Perception,STEM/Math; Visual/Document,document_understanding; mathematical_reasoning; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,12,DocVQA,benchmark_docvqa,DocVQA,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Visual/Document,document_understanding; multimodal_understanding,construct_validity_risk; contamination_risk; saturation_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,13,ActivityNet,benchmark_activitynet,ActivityNet,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Visual/Document,multimodal_understanding,construct_validity_risk; contamination_risk; saturation_risk
9,OpenAI::GPT-4o::2024-05-13,OpenAI,GPT-4o,2024-05-13,14,EgoSchema,benchmark_egoschema,EgoSchema,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Knowledge Retrieval,General/Commonsense; Visual/Document,long_context_reasoning; multimodal_understanding; reasoning,contamination_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,1,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,Bio/Medicine; Coding/Engineering; Finance; General/Commonsense; Law; Other Specialized; STEM/Math,domain_expertise; factual_knowledge; mathematical_reasoning; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,2,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Self-affiliated frontier lab,True,Generative Reasoning,STEM/Math,Generative Reasoning,Bio/Medicine; STEM/Math,domain_expertise; factual_knowledge; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,3,HumanEval,benchmark_humaneval,HumanEval,canonical,exact,OpenAI,OpenAI,Other frontier lab-affiliated,False,Generative Reasoning,Coding/Engineering,Generative Reasoning,Coding/Engineering,coding,construct_validity_risk; contamination_risk; provider_created_benchmark; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,4,GSM8K,benchmark_gsm8k,GSM8K,canonical,exact,OpenAI,OpenAI,Other frontier lab-affiliated,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,mathematical_reasoning; reasoning,contamination_risk; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,5,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,domain_expertise; mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,6,MGSM,benchmark_mgsm,MGSM,canonical,exact,"Google, Academia",Google,Other frontier lab-affiliated,False,Generative Reasoning,STEM/Math,Generative Reasoning,Multilingual; STEM/Math,mathematical_reasoning; reasoning,contamination_risk; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,7,DROP,benchmark_drop,DROP,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Multimodal Perception,General/Commonsense; STEM/Math,document_understanding; mathematical_reasoning; reasoning,contamination_risk; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,8,Big-Bench Hard,benchmark_big_bench_hard,Big-Bench Hard,canonical,exact,Google,Google,Other frontier lab-affiliated,False,Generative Reasoning,General/Commonsense,Generative Reasoning,General/Commonsense; STEM/Math,mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,9,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Other frontier lab-affiliated,False,Multimodal Perception,STEM/Math,Multimodal Perception,STEM/Math; Visual/Document,mathematical_reasoning; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,10,AI2D,benchmark_ai2d,AI2D,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,STEM/Math; Visual/Document,document_understanding; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,11,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Bio/Medicine; Other Specialized; STEM/Math; Visual/Document,domain_expertise; mathematical_reasoning; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; version_instability
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,12,DocVQA,benchmark_docvqa,DocVQA,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Visual/Document,document_understanding; multimodal_understanding,construct_validity_risk; contamination_risk; saturation_risk
10,Anthropic::Claude 3.5 Sonnet::2024-06-21,Anthropic,Claude 3.5 Sonnet,2024-06-21,13,ChartQA,benchmark_chartqa,ChartQA,canonical,exact,Academia,none,Academia,False,Multimodal Perception,STEM/Math,Multimodal Perception,STEM/Math; Visual/Document,document_understanding; mathematical_reasoning; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
11,OpenAI::o1::2024-09-12,OpenAI,o1,2024-09-12,1,IMO,benchmark_imo,IMO,canonical,exact,Academia,none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,domain_expertise; mathematical_reasoning; reasoning,contamination_risk; unclear_metric
11,OpenAI::o1::2024-09-12,OpenAI,o1,2024-09-12,2,AIME,benchmark_aime,AIME,canonical,exact,Academia,none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,mathematical_reasoning; reasoning,contamination_risk; version_instability
11,OpenAI::o1::2024-09-12,OpenAI,o1,2024-09-12,3,Codeforces,benchmark_codeforces,Codeforces,canonical,exact,Others(Codeforces platform),none,Independent/industry,False,Generative Reasoning,Coding/Engineering,Agentic,Coding/Engineering; STEM/Math,coding; mathematical_reasoning; reasoning,contamination_risk; distribution_shift_risk; unclear_metric; version_instability
11,OpenAI::o1::2024-09-12,OpenAI,o1,2024-09-12,4,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,Bio/Medicine; STEM/Math,domain_expertise; factual_knowledge; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk
11,OpenAI::o1::2024-09-12,OpenAI,o1,2024-09-12,5,MATH,benchmark_math,MATH,canonical,exact,Academia,none,Academia,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,domain_expertise; mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; saturation_risk
11,OpenAI::o1::2024-09-12,OpenAI,o1,2024-09-12,6,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Other frontier lab-affiliated,False,Multimodal Perception,STEM/Math,Multimodal Perception,STEM/Math; Visual/Document,mathematical_reasoning; multimodal_understanding; reasoning,construct_validity_risk; contamination_risk
11,OpenAI::o1::2024-09-12,OpenAI,o1,2024-09-12,7,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Academia,False,Multimodal Perception,General/Commonsense,Multimodal Perception,Bio/Medicine; Other Specialized; STEM/Math; Visual/Document,domain_expertise; mathematical_reasoning; multimodal_understanding; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; version_instability
11,OpenAI::o1::2024-09-12,OpenAI,o1,2024-09-12,8,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,Bio/Medicine; Coding/Engineering; Finance; General/Commonsense; Law; Other Specialized; STEM/Math,domain_expertise; factual_knowledge; mathematical_reasoning; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk
