Provider,Model name,link,release date,benchmarks
OpenAI,GPT-5.3-Codex,https://openai.com/ko-KR/index/introducing-gpt-5-3-codex/,2026-02-05,"SWE-Bench Pro (Public), SWE-bench Verified, Terminal-Bench 2.0, OSWorld-Verified, GDPval, Cybersecurity Capture The Flag Challenges, SWE-lancer IC Diamond"
OpenAI,GPT-5.4,https://openai.com/index/introducing-gpt-5-4/,2026-03-05,"APEX-Agents, GDPval, FinanceAgent v1.1, Investment Banking Modeling Tasks (Internal), OfficeQA, BigLaw Bench, OSWorld-Verified, WebArena-Verified, Online-Mind2Web, MMMU Pro, OmniDocBench, SWE-Bench Pro (Public), Terminal-Bench 2.0, MCP Atlas, Toolathlon, Tau2-bench Telecom, BrowseComp, Frontier Science Research, FrontierMath, GPQA Diamond, Humanity's Last Exam, Graphwalks, OpenAI MRCR v2, ARC-AGI-1 (Verified), ARC-AGI-2 (Verified), CoT controllability"
OpenAI,GPT-5.5,https://openai.com/index/introducing-gpt-5-5/,2026-04-23,"Artificial Analysis's Coding Index, Artificial Analysis Intelligence Index, AA-LCR, AA-Omniscience, CritPt, GDPval-AA, IFBench, SciCode, Terminal-Bench Hard, SWE-Bench Pro (Public), Terminal-Bench 2.0, Expert-SWE (Internal), GDPval, FinanceAgent v1.1, Investment Banking Modeling Tasks (Internal), OfficeQA Pro, BigLaw Bench, OSWorld-Verified, MMMU Pro, BrowseComp, MCP Atlas, Toolathlon, Tau2-bench Telecom, GeneBench, FrontierMath, BixBench, GPQA Diamond, Humanity's Last Exam, Capture-the-Flags challenge tasks (Internal), CyberGym, Graphwalks, OpenAI MRCR v2, ARC-AGI-1 (Verified), ARC-AGI-2 (Verified)"
OpenAI,GPT-5.6,https://openai.com/index/gpt-5-6/,2026-07-09,"Agents' Last Exam, GDPval-AA v2, Management Consulting Tasks (Internal), Big Finance Bench, Artificial Analysis Intelligence Index v4.1, Artificial Analysis Coding Agent Index v1.1, SWE-Bench Pro, DeepSWE v1.1, Terminal-Bench 2.1, BrowseComp, SEC-Bench Pro, CursorBench, agentic code-review tests, internal and external PR benchmarks, Model ML's FinBench, seven-task benchmark, early design evals, combined evaluation suite, Legora's internal eval harness, GeneBench Pro, LifeSciBench, MedChemBench (Internal), HealthBench Professional, OSWorld 2.0, BenchCAD, Capture-the-Flag Challenges, ExploitBench 2, ExploitGym 3, Internal Research Debugging Evaluation, KernelGen 1P, NanoGPT, PostTrainBench Lite, RSI Index, MMMU Pro, gdp.pdf, GPQA Diamond, FrontierMath, AutomationBench, Toolathlon, OpenAI MRCR v2, GraphWalks, ARC-AGI-3"
Google,gemini 1.0,https://blog.google/innovation-and-ai/technology/ai/google-gemini-ai/,2023-12-06,"MMLU / MMLU-Pro, Big-Bench Hard, DROP, HellaSwag, GSM8K, MATH, HumanEval, Natural2Code, MMMU / MMMU Pro, VQAv2, TextVQA, DocVQA, Infographic VQA, MathVista, VATEX, MCQA, CoVoST 2, FLEURS"
Google,Gemini 1.5,https://blog.google/innovation-and-ai/products/google-gemini-next-generation-model-february-2024,2024-02-15,"Needle In A Haystack, MTOB benchmark"
Google,Gemini 2.0,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/google-gemini-ai-update-december-2024/,2024-12-11,"MMLU / MMLU-Pro, Natural2Code, Bird-SQL, LiveCodeBench, FACTS Grounding, MATH, HiddenMath, GPQA, MRCR, MMMU / MMMU Pro, Vibe-Eval, CoVoST 2, EgoSchema, WebVoyager"
Google,Gemini 2.5,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025/,2025-03-25,"HLE (Humanity's Last Exam), GPQA, AIME, LiveCodeBench, Aider Polyglot, SWE-bench verified, SimpleQA, MMMU / MMMU Pro, Vibe-Eval, MRCR"
Google,Gemini 3.0,https://blog.google/products-and-platforms/products/gemini/gemini-3/#note-from-ceo,2025-11-18,"HLE (Humanity's Last Exam), ARC-AGI, GPQA, AIME, MathArena Apex, MMMU / MMMU Pro, ScreenSpot-Pro, CharXiv, OmniDocBench 1.5, Video-MMMU, LiveCodeBench, Terminal-Bench 2.0, SWE-bench verified, TAU-2 bench, Vending-Bench 2, FACTS Benchmark suite, SimpleQA, MMMLU, Global PIQA, MRCR, LMArena"
Google,Gemini 3.1 Pro,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-pro/,2026-02-19,"HLE (Humanity's Last Exam), ARC-AGI-2, GPQA Diamond, Terminal-Bench 2.0, SWE-bench verified, SWE-bench Pro, LiveCodeBench Pro, SciCode, APEX-Agents, GDPval-AA, TAU-2 bench, Scale MCP-Atlas, BrowseComp, MMMU / MMMU Pro, MMMLU, MRCR v2"
Google,Gemini 3.1 Flash-Lite,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-lite/,2026-03-03,"LMArena, HLE (Humanity's Last Exam), GPQA Diamond, MMMU / MMMU Pro, CharXiv Reasoning, Video-MMMU, SimpleQA Verified, FACTS Benchmark suite, MMMLU, LiveCodeBench, MRCR v2"
Google,Gemini 3.5 Flash,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5/,2026-05-19,"Terminal-Bench 2.1, SWE-Bench Pro (Public), MCP Atlas, Toolathlon, OSWorld-Verified, Finance Agent v2, GDPval-AA, CharXiv Reasoning, MMMU-Pro, Blueprint-Bench 2, MRCR v2 (8-needle), Humanity's Last Exam, ARC-AGI-2, Artificial Analysis Intelligence Index"
Google,Gemini 3.6 Flash,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-6-flash-3-5-flash-lite-3-5-flash-cyber/,2026-07-21,"Artificial Analysis Intelligence Index, DeepSWE v1.1, MLE-Bench, GDPval-AA v2, OSWorld-Verified"
Google,Gemini 3.5 Flash-Lite,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-6-flash-3-5-flash-lite-3-5-flash-cyber/,2026-07-21,"Terminal-Bench 2.1, GDM-MRCR v2, GDPval-AA v2, SWE-Bench Pro, OSWorld-Verified"
Google,Gemini 3.5 Flash Cyber,https://deepmind.google/blog/introducing-gemini-3-5-flash-cyber/,2026-07-21,"CyberGym, Big Sleep Evaluation, Chrome Production Commit Scanning Pipeline"
Anthropic,Claude 1,https://www.anthropic.com/news/introducing-claude,2023-03-14,
Anthropic,Claude 2,https://www.anthropic.com/news/claude-2,2023-07-11,"Uniform Bar Exam, GRE, HumanEval, GSM8K"
Anthropic,Claude 2.1,https://www.anthropic.com/news/claude-2-1,2023-11-21,
Anthropic,Claude 3,https://www.anthropic.com/news/claude-3-family,2024-03-04,"MMLU / MMLU-Pro, GPQA, GSM8K, MATH, MGSM, HumanEval, DROP, Big-Bench Hard, ARC-AGI, HellaSwag, MMMU / MMMU Pro, AI2D, Needle In A Haystack, MathVista, DocVQA, ChartQA"
Anthropic,Claude 3.5 Sonnet,https://www.anthropic.com/news/claude-3-5-sonnet,2024-06-21,"MMLU / MMLU-Pro, GPQA, HumanEval, GSM8K, MATH, MGSM, DROP, Big-Bench Hard, MathVista, AI2D, MMMU / MMMU Pro, DocVQA, ChartQA"
Anthropic,Claude 3.5 Haiku,https://www.anthropic.com/news/3-5-models-and-computer-use,2024-10-23,"GPQA Diamond, MMLU / MMLU-Pro, HumanEval, MATH, AIME, MMMU / MMMU Pro, SWE-bench verified, Tau-bench, OSWorld"
Anthropic,Claude 3.7 Sonnet,https://www.anthropic.com/news/claude-3-7-sonnet,2025-02-25,"SWE-bench verified, Tau-bench, GPQA Diamond, MMMLU, MMMU / MMMU Pro, IFEval, MATH 500, AIME"
Anthropic,Claude 4,https://www.anthropic.com/news/claude-4,2025-05-23,"SWE-bench verified, Tau-bench, Terminal-bench, GPQA Diamond, AIME, MMMLU, MMMU / MMMU Pro"
Anthropic,Claude 4.1 (Opus),https://www.anthropic.com/news/claude-opus-4-1,2025-08-05,"SWE-bench verified, Terminal-bench, GPQA Diamond, Tau-bench, MMMLU, MMMU / MMMU Pro, AIME"
Anthropic,Claude 4.5 (Sonnet),https://www.anthropic.com/news/claude-sonnet-4-5,2025-09-30,"SWE-bench verified, Terminal-bench, TAU-2 bench, OSWorld, AIME, GPQA Diamond, MMMLU, MMMU / MMMU Pro, Finance Agent"
Anthropic,Claude 4.5 (Haiku),https://www.anthropic.com/news/claude-haiku-4-5,2025-10-16,"SWE-bench verified, Terminal-bench, TAU-2 bench, OSWorld, AIME, GPQA Diamond, MMMLU, MMMU / MMMU Pro"
Anthropic,Claude 4.5 (Opus),https://www.anthropic.com/news/claude-opus-4-5,2025-11-24,"SWE-bench verified, Terminal-Bench 2.0, TAU-2 bench, Scale MCP-Atlas, OSWorld, ARC-AGI-2, GPQA Diamond, MMMU / MMMU Pro, MMMLU, SWE-bench Multilingual, Aider Polyglot, BrowseComp-Plus, Vending-Bench"
Anthropic,Claude 4.6 (Opus),https://www.anthropic.com/news/claude-opus-4-6,2026-02-05,"GDPval-AA, Terminal-bench, SWE-bench verified, OSWorld, TAU-2 bench, MCP-Atlas, BrowseComp, Humanity's Last Exam, Finance Agent, ARC-AGI-2, GPQA Diamond, MMMU Pro, MMMLU, MRCR v2, OpenRCA, BigLaw Bench, CyberGym, Graphwalks, SWE-bench Multilingual, Vending-Bench 2, BioPipelineBench"
Anthropic,Claude 4.7 (Opus),https://www.anthropic.com/news/claude-opus-4-7,2026-04-16,"SWE-bench Pro, SWE-bench Verified, Terminal-Bench 2.0, Humanity's Last Exam, BrowseComp, MCP-Atlas, OSWorld-Verified, Finance Agent v1.1, CyberGym, GPQA Diamond, CharXiv Reasoning, MMMLU, 93-task coding benchmark, internal research-agent benchmark, BigLaw Bench, CursorBench, implicit-need tests, Rakuten-SWE-Bench, Terminal Bench, Qodo's real-world code review benchmark, OfficeQA Pro, GDPval-AA, GraphWalks, SWE-bench Multilingual, SWE-bench Multimodal, Structural Biology, Vending-Bench 2, ScreenSpot-Pro, Misaligned behavior, automated behavioral audit, Anthropic internal autonomous agentic coding evaluation"
Anthropic,Claude 4.8 (Opus),https://www.anthropic.com/news/claude-opus-4-8,2026-05-28,"SWE-Bench Pro, Terminal-Bench 2.1, Humanity's Last Exam, OSWorld-Verified, GDPval-AA, Finance Agent v2, Super-Agent benchmark, CursorBench, Legal Agent Benchmark, Online-Mind2Web, Misaligned behavior"
Anthropic,Claude 5 (Fable/Mythos),https://www.anthropic.com/news/claude-fable-5-mythos-5,2026-06-09,"SWE-Bench Pro, FrontierCode (Diamond), GDPval-AA, GDP.pdf, Blueprint-Bench 2, AutomationBench, OSWorld-Verified, Legal Agent Benchmark, Humanity's Last Exam, BioMysteryBench, Terminal-Bench 2.1, ExploitBench, HealthBench Professional, Hebbia's Finance Benchmark, IMC trading-analysis evaluations, automated alignment assessment, CursorBench, FrontierBench, core analytics benchmark, ViBench, everyday spreadsheet suite, Firefox, OSS-Fuzz, CyberGym, CyScenarioBench"
Anthropic,Claude 5 (Sonnet),https://www.anthropic.com/news/claude-sonnet-5,2026-06-30,"SWE-Bench Pro, Terminal-Bench 2.1, Humanity's Last Exam, OSWorld-Verified, GDPval-AA v2, BrowseComp, Eve's plaintiff-law tasks, automated behavioral audit, Firefox 147 exploit evaluation"
Anthropic,Claude 5 (Opus),https://www.anthropic.com/news/claude-opus-5,2026-07-24,"Frontier-Bench v0.1, GDPval-AA v2, ARC-AGI-3, BrowseComp, Humanity's Last Exam, OSWorld 2.0, DeepSWE v1.1, FrontierCode v1.1, AutomationBench, Legal Agent Benchmark, HealthBench Professional, BioMysteryBench, CursorBench 3.2, AA Coding Agent Index, DeepSearchQA, internal organic chemistry benchmark, Lovable internal evals, frontend benchmark, trading benchmark, automated behavioral audit, OSS-Fuzz"

