provider,model_name,release_date,release_year,raw_mention,benchmark_id,benchmark_name,match_source,match_type,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain,benchmark_review_status
OpenAI,GPT-4.1,2025-04-14,2025,Aider Polyglot,benchmark_aider_polyglot,Aider Polyglot,canonical,exact,Others(Aider),none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,IFEval,benchmark_ifeval,IFEval,canonical,exact,Google,Google,Constraint Satisfaction,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,Needle In A Haystack,benchmark_needle_in_a_haystack,Needle In A Haystack,canonical,exact,"Academia, Others(Microsoft)",none,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,GraphWalks,benchmark_graphwalks,GraphWalks,canonical,exact,OpenAI,OpenAI,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,CharXiv,benchmark_charxiv,CharXiv,canonical,exact,Academia,none,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,AIME,benchmark_aime,AIME,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,COLLIE,benchmark_collie,COLLIE,canonical,exact,Academia,none,Constraint Satisfaction,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,Multi-IF,benchmark_multi_if,Multi-IF,canonical,exact,Meta,none,Constraint Satisfaction,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,MRCR,benchmark_mrcr,MRCR,canonical,exact,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,ComplexFunc Bench,benchmark_complexfunc_bench,ComplexFunc Bench,canonical,exact,Academia,none,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,Tau-bench,benchmark_tau_bench,Tau-bench,canonical,exact,Academia,none,Agentic,General/Commonsense,legacy_seed
OpenAI,GPT-4.1,2025-04-14,2025,SWE-Lancer,benchmark_swe_lancer,SWE-Lancer,canonical,exact,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,o3,2025-04-16,2025,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,o3,2025-04-16,2025,AIME,benchmark_aime,AIME,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o3,2025-04-16,2025,Codeforces,benchmark_codeforces,Codeforces,canonical,exact,Others(Codeforces platform),none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,o3,2025-04-16,2025,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,o3,2025-04-16,2025,HLE (Humanity's Last Exam),benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),canonical,exact,"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance),accepted
OpenAI,o3,2025-04-16,2025,MathVista,benchmark_mathvista,MathVista,canonical,exact,Academia,Microsoft,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,o3,2025-04-16,2025,CharXiv,benchmark_charxiv,CharXiv,canonical,exact,Academia,none,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,o3,2025-04-16,2025,SWE-bench verified,benchmark_swe_bench_verified,SWE-bench verified,canonical,exact,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,o3,2025-04-16,2025,Aider Polyglot,benchmark_aider_polyglot,Aider Polyglot,canonical,exact,Others(Aider),none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,o3,2025-04-16,2025,MultiChallenge,benchmark_multichallenge,MultiChallenge,canonical,exact,Others(Scale AI),none,Constraint Satisfaction,General/Commonsense,legacy_seed
OpenAI,o3,2025-04-16,2025,BrowseComp,benchmark_browsecomp,BrowseComp,canonical,exact,OpenAI,OpenAI,Agentic,General/Commonsense,legacy_seed
OpenAI,o3,2025-04-16,2025,Tau-bench,benchmark_tau_bench,Tau-bench,canonical,exact,Academia,none,Agentic,General/Commonsense,legacy_seed
OpenAI,o3,2025-04-16,2025,SWE-Lancer,benchmark_swe_lancer,SWE-Lancer,canonical,exact,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,Healthbench,benchmark_healthbench,Healthbench,canonical,exact,OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance),legacy_seed
OpenAI,GPT-5,2025-08-07,2025,AIME,benchmark_aime,AIME,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,SWE-bench verified,benchmark_swe_bench_verified,SWE-bench verified,canonical,exact,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,Aider Polyglot,benchmark_aider_polyglot,Aider Polyglot,canonical,exact,Others(Aider),none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,FrontierMath,benchmark_frontiermath,FrontierMath,canonical,exact,"Others(Epoch AI, backed by Google)",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,HMMT,benchmark_hmmt,HMMT,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,HLE (Humanity's Last Exam),benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),canonical,exact,"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5,2025-08-07,2025,MultiChallenge,benchmark_multichallenge,MultiChallenge,canonical,exact,Others(Scale AI),none,Constraint Satisfaction,General/Commonsense,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,BrowseComp,benchmark_browsecomp,BrowseComp,canonical,exact,OpenAI,OpenAI,Agentic,General/Commonsense,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,COLLIE,benchmark_collie,COLLIE,canonical,exact,Academia,none,Constraint Satisfaction,General/Commonsense,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,TAU-2 bench,benchmark_tau_2_bench,TAU-2 bench,canonical,exact,Academia,none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5,2025-08-07,2025,Video-MMMU,benchmark_video_mmmu,Video-MMMU,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,CharXiv,benchmark_charxiv,CharXiv,canonical,exact,Academia,none,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,GPT-5,2025-08-07,2025,ERQA,benchmark_erqa,ERQA,canonical,exact,Google,Google; DeepMind,Knowledge Retrieval,General/Commonsense,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,GDPval,benchmark_gdpval,GDPval,canonical,exact,OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5.2,2025-12-11,2025,SWE-bench Pro,benchmark_swe_bench_pro,SWE-bench Pro,canonical,exact,Others(Scale AI),none,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,SWE-bench verified,benchmark_swe_bench_verified,SWE-bench verified,canonical,exact,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,GPQA,benchmark_gpqa,GPQA,canonical,exact,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,CharXiv,benchmark_charxiv,CharXiv,canonical,exact,Academia,none,Multimodal Perception,STEM/Math,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,HMMT,benchmark_hmmt,HMMT,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,FrontierMath,benchmark_frontiermath,FrontierMath,canonical,exact,"Others(Epoch AI, backed by Google)",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,ARC-AGI,benchmark_arc_agi,ARC-AGI,canonical,exact,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,MRCR v2,benchmark_mrcr_v2,MRCR v2,canonical,exact,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,ScreenSpot-Pro,benchmark_screenspot_pro,ScreenSpot-Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,TAU-2 bench,benchmark_tau_2_bench,TAU-2 bench,canonical,exact,Academia,none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5.2,2025-12-11,2025,BrowseComp Long Context,benchmark_browsecomp_long_context,BrowseComp Long Context,canonical,exact,OpenAI,OpenAI,Knowledge Retrieval,General/Commonsense,accepted
OpenAI,GPT-5.2,2025-12-11,2025,GraphWalks,benchmark_graphwalks,GraphWalks,canonical,exact,OpenAI,OpenAI,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,Video-MMMU,benchmark_video_mmmu,Video-MMMU,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,Scale MCP-Atlas,benchmark_scale_mcp_atlas,Scale MCP-Atlas,canonical,exact,Others(Scale AI),none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5.2,2025-12-11,2025,Toolathlon,benchmark_toolathlon,Toolathlon,canonical,exact,"Academia, Others(All Hands AI)",none,Agentic,General/Commonsense,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,MMMLU,benchmark_mmmlu,MMMLU,canonical,exact,OpenAI,OpenAI,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-5.2,2025-12-11,2025,HLE (Humanity's Last Exam),benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),canonical,exact,"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5.2,2025-12-11,2025,SWE-Lancer,benchmark_swe_lancer,SWE-Lancer,canonical,exact,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5.3-Codex,2026-02-05,2026,SWE-Bench Pro (Public),benchmark_swe_bench_pro,SWE-bench Pro,alias,version_alias,Others(Scale AI),none,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5.3-Codex,2026-02-05,2026,SWE-bench Verified,benchmark_swe_bench_verified,SWE-bench verified,alias,case_variant,OpenAI,OpenAI,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5.3-Codex,2026-02-05,2026,Terminal-Bench 2.0,benchmark_terminal_bench_2_0,Terminal-Bench 2.0,canonical,exact,Academia,Anthropic,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5.3-Codex,2026-02-05,2026,OSWorld-Verified,benchmark_osworld_verified,OSWorld-Verified,canonical,exact,Academia,none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5.3-Codex,2026-02-05,2026,GDPval,benchmark_gdpval,GDPval,canonical,exact,OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5.3-Codex,2026-02-05,2026,Cybersecurity Capture The Flag Challenges,benchmark_cybersecurity_ctfs,Cybersecurity CTFs,alias,legacy_name,Academia,none,Generative Reasoning,Coding/Engineering,legacy_seed
OpenAI,GPT-5.3-Codex,2026-02-05,2026,SWE-lancer IC Diamond,benchmark_swe_lancer_ic_diamond,SWE-Lancer IC Diamond,alias,case_variant,OpenAI,OpenAI,Agentic,Coding/Engineering,accepted
OpenAI,GPT-5.4,2026-03-05,2026,APEX-Agents,benchmark_apex_agents,APEX-Agents,canonical,exact,Others(Mercor),none,Agentic,Specialized (Law/Bio/Finance),legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,GDPval,benchmark_gdpval,GDPval,canonical,exact,OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5.4,2026-03-05,2026,FinanceAgent v1.1,benchmark_financeagent_v1_1,FinanceAgent v1.1,canonical,exact,"Academia, Others(vals.ai)",none,Agentic,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5.4,2026-03-05,2026,Investment Banking Modeling Tasks (Internal),benchmark_investment_banking_modeling_tasks_internal,Investment Banking Modeling Tasks (Internal),canonical,exact,OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5.4,2026-03-05,2026,OfficeQA,benchmark_officeqa,OfficeQA,canonical,exact,"Academia, Others(Databricks)",none,Agentic,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5.4,2026-03-05,2026,BigLaw Bench,benchmark_biglaw_bench,BigLaw Bench,canonical,exact,Others(Harvey),none,Generative Reasoning,Specialized (Law/Bio/Finance),legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,OSWorld-Verified,benchmark_osworld_verified,OSWorld-Verified,canonical,exact,Academia,none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5.4,2026-03-05,2026,WebArena-Verified,benchmark_webarena_verified,WebArena-Verified,canonical,exact,"Academia, Others(ServiceNow)",none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5.4,2026-03-05,2026,Online-Mind2Web,benchmark_online_mind2web,Online-Mind2Web,canonical,exact,Academia,none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5.4,2026-03-05,2026,MMMU Pro,benchmark_mmmu_pro,MMMU Pro,canonical,exact,Academia,none,Multimodal Perception,General/Commonsense,accepted
OpenAI,GPT-5.4,2026-03-05,2026,OmniDocBench,benchmark_omnidocbench,OmniDocBench,canonical,exact,"Academia, Others(OpenGVLab)",none,Multimodal Perception,General/Commonsense,accepted
OpenAI,GPT-5.4,2026-03-05,2026,SWE-Bench Pro (Public),benchmark_swe_bench_pro,SWE-bench Pro,alias,version_alias,Others(Scale AI),none,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,Terminal-Bench 2.0,benchmark_terminal_bench_2_0,Terminal-Bench 2.0,canonical,exact,Academia,Anthropic,Agentic,Coding/Engineering,legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,MCP Atlas,benchmark_scale_mcp_atlas,Scale MCP-Atlas,alias,provider_abbreviation,Others(Scale AI),none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5.4,2026-03-05,2026,Toolathlon,benchmark_toolathlon,Toolathlon,canonical,exact,"Academia, Others(All Hands AI)",none,Agentic,General/Commonsense,legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,Tau2-bench Telecom,benchmark_tau_2_bench,TAU-2 bench,alias,version_alias,Academia,none,Agentic,General/Commonsense,accepted
OpenAI,GPT-5.4,2026-03-05,2026,BrowseComp,benchmark_browsecomp,BrowseComp,canonical,exact,OpenAI,OpenAI,Agentic,General/Commonsense,legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,Frontier Science Research,benchmark_frontier_science_research,Frontier Science Research,canonical,exact,OpenAI,OpenAI,Generative Reasoning,STEM/Math,accepted
OpenAI,GPT-5.4,2026-03-05,2026,FrontierMath,benchmark_frontiermath,FrontierMath,canonical,exact,"Others(Epoch AI, backed by Google)",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,GPQA Diamond,benchmark_gpqa_diamond,GPQA Diamond,canonical,exact,"Anthropic, Academia, Others(Cohere)",none,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,Humanity's Last Exam,benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),alias,legacy_name,"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance),accepted
OpenAI,GPT-5.4,2026-03-05,2026,Graphwalks,benchmark_graphwalks,GraphWalks,alias,case_variant,OpenAI,OpenAI,Generative Reasoning,STEM/Math,legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,OpenAI MRCR v2,benchmark_mrcr_v2,MRCR v2,alias,provider_abbreviation,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense,legacy_seed
OpenAI,GPT-5.4,2026-03-05,2026,ARC-AGI-1 (Verified),benchmark_arc_agi,ARC-AGI,alias,version_alias,Academia,none,Generative Reasoning,STEM/Math,legacy_seed
